th1,th2,th3,th4,th5,th6,th7,prey0,pred1_0,pred2_0,pred3_0,prey1,pred1_1,pred2_1,pred3_1,prey2,pred1_2,pred2_2,pred3_2,prey3,pred1_3,pred2_3,pred3_3,prey4,pred1_4,pred2_4,pred3_4,prey5,pred1_5,pred2_5,pred3_5,prey6,pred1_6,pred2_6,pred3_6,prey7,pred1_7,pred2_7,pred3_7,prey8,pred1_8,pred2_8,pred3_8,prey9,pred1_9,pred2_9,pred3_9,prey10,pred1_10,pred2_10,pred3_10,prey11,pred1_11,pred2_11,pred3_11,prey12,pred1_12,pred2_12,pred3_12,prey13,pred1_13,pred2_13,pred3_13,prey14,pred1_14,pred2_14,pred3_14,prey15,pred1_15,pred2_15,pred3_15,prey16,pred1_16,pred2_16,pred3_16,prey17,pred1_17,pred2_17,pred3_17,prey18,pred1_18,pred2_18,pred3_18,prey19,pred1_19,pred2_19,pred3_19,prey20,pred1_20,pred2_20,pred3_20,prey21,pred1_21,pred2_21,pred3_21,prey22,pred1_22,pred2_22,pred3_22,prey23,pred1_23,pred2_23,pred3_23,prey24,pred1_24,pred2_24,pred3_24,prey25,pred1_25,pred2_25,pred3_25,prey26,pred1_26,pred2_26,pred3_26,prey27,pred1_27,pred2_27,pred3_27,prey28,pred1_28,pred2_28,pred3_28,prey29,pred1_29,pred2_29,pred3_29,prey30,pred1_30,pred2_30,pred3_30
10.0,0.005,0.0025,0.006,6.0,3.0,7.2,795,514,757,390,1265,403,662,338,2131,540,793,599,1683,1018,1066,1220,607,968,893,943,605,580,765,617,1203,418,590,446,2092,679,605,621,929,1214,881,1341,406,860,625,597,663,552,413,261,1675,484,371,229,2760,1345,528,565,1037,2067,662,977,491,1295,547,696,630,734,437,468,1023,478,402,292,2018,517,436,245,3026,1189,630,778,727,1870,766,1661,349,981,568,966,465,506,370,536,1100,339,283,349,2376,693,369,1009,931,1014,414,1360,738,548,305,591,1475,525,329,646,1795,863,298,942,885,896,297,1109,883,534,310,761,1335,460,231,745
9.989769383015807,0.00507286770523878,0.002445461929911783,0.006022166176851539,5.897390852227111,2.971018727121972,7.145252685021079,807,446,953,407,1274,462,746,254,2153,624,856,558,1675,1151,1082,1319,605,1039,941,1204,568,539,557,687,1196,359,411,539,2118,643,523,958,948,1248,600,1634,424,741,473,954,675,377,248,372,1674,371,235,343,2758,625,331,906,997,1350,501,1665,507,965,348,814,619,613,267,350,1000,385,154,142,2006,402,138,228,2995,1044,172,769,717,2189,293,1593,351,1585,220,1054,473,911,164,393,1109,684,132,322,2362,993,179,635,902,1583,171,1094,712,991,152,454,1455,776,85,316,1808,1524,118,644,913,1602,122,594,866,1145,113,315,1315,1184,130,204
10.01897181086718,0.005023065982133679,0.0023990204251273808,0.005994382144368331,5.929931006683047,2.989162601098056,7.147316971075305,804,902,352,669,1252,625,294,385,2135,881,345,559,1694,1863,538,956,610,1590,369,604,625,989,213,414,1198,570,125,261,2099,1231,180,672,935,1893,177,947,407,1124,107,494,656,679,83,313,1666,604,59,236,2735,1417,45,398,1011,2745,75,602,500,1703,23,503,603,1081,3,286,1011,753,6,191,1997,776,15,157,3004,1996,29,475,712,2701,26,822,356,1466,22,403,443,980,11,176,1119,694,2,141,2363,1423,0,420,888,2356,0,638,722,1257,0,346,1471,1139,0,241,1797,1881,0,381,912,1937,0,314,865,1448,0,129,1346,1324,0,133
9.984309939179282,0.00492733948601926,0.0023635459192738397,0.005984966824882213,5.973808821936585,3.0027063222430947,7.296143293727002,813,722,814,174,1258,686,818,206,2144,868,969,368,1671,1285,1120,980,610,1116,897,1040,585,627,634,594,1180,472,491,421,2098,918,583,942,933,1068,524,1197,408,804,407,515,665,456,256,307,1662,564,258,211,2753,1308,413,560,1001,2298,424,1183,500,1384,323,764,610,715,216,325,995,547,191,227,2015,609,165,325,3015,1086,210,959,709,1953,287,1714,354,989,206,1010,465,627,148,437,1108,469,143,236,2377,919,140,654,910,1443,114,1475,704,788,73,680,1457,612,70,604,1819,934,110,1046,916,1014,107,1067,871,768,84,609,1336,758,75,615
9.984309939179282,0.00492733948601926,0.0023635459192738397,0.005984966824882213,5.973808821936585,3.0027063222430947,7.296143293727002,813,722,814,174,1258,686,818,206,2144,868,969,368,1671,1285,1120,980,610,1116,897,1040,585,627,634,594,1180,472,491,421,2098,918,583,942,933,1068,524,1197,408,804,407,515,665,456,256,307,1662,564,258,211,2753,1308,413,560,1001,2298,424,1183,500,1384,323,764,610,715,216,325,995,547,191,227,2015,609,165,325,3015,1086,210,959,709,1953,287,1714,354,989,206,1010,465,627,148,437,1108,469,143,236,2377,919,140,654,910,1443,114,1475,704,788,73,680,1457,612,70,604,1819,934,110,1046,916,1014,107,1067,871,768,84,609,1336,758,75,615
9.984309939179282,0.00492733948601926,0.0023635459192738397,0.005984966824882213,5.973808821936585,3.0027063222430947,7.296143293727002,813,722,814,174,1258,686,818,206,2144,868,969,368,1671,1285,1120,980,610,1116,897,1040,585,627,634,594,1180,472,491,421,2098,918,583,942,933,1068,524,1197,408,804,407,515,665,456,256,307,1662,564,258,211,2753,1308,413,560,1001,2298,424,1183,500,1384,323,764,610,715,216,325,995,547,191,227,2015,609,165,325,3015,1086,210,959,709,1953,287,1714,354,989,206,1010,465,627,148,437,1108,469,143,236,2377,919,140,654,910,1443,114,1475,704,788,73,680,1457,612,70,604,1819,934,110,1046,916,1014,107,1067,871,768,84,609,1336,758,75,615
9.984309939179282,0.00492733948601926,0.0023635459192738397,0.005984966824882213,5.973808821936585,3.0027063222430947,7.296143293727002,813,722,814,174,1258,686,818,206,2144,868,969,368,1671,1285,1120,980,610,1116,897,1040,585,627,634,594,1180,472,491,421,2098,918,583,942,933,1068,524,1197,408,804,407,515,665,456,256,307,1662,564,258,211,2753,1308,413,560,1001,2298,424,1183,500,1384,323,764,610,715,216,325,995,547,191,227,2015,609,165,325,3015,1086,210,959,709,1953,287,1714,354,989,206,1010,465,627,148,437,1108,469,143,236,2377,919,140,654,910,1443,114,1475,704,788,73,680,1457,612,70,604,1819,934,110,1046,916,1014,107,1067,871,768,84,609,1336,758,75,615
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.849688320687026,0.004947344882547214,0.0023728874341409738,0.006015220690730893,5.980053038261108,2.9563841595731724,7.245184389112216,803,647,816,557,1262,547,625,357,2144,815,547,393,1678,1408,756,1102,602,1369,598,823,598,968,507,416,1185,870,328,354,2102,1097,327,501,936,1828,425,1064,401,1185,350,540,674,691,178,281,1675,618,174,210,2763,1348,198,473,1001,2240,192,1200,493,1243,151,726,605,615,78,360,1014,434,65,193,2009,354,69,176,3026,1121,142,697,700,1856,229,1539,365,1212,172,780,463,733,72,319,1114,503,79,255,2389,954,73,633,908,1249,81,1230,720,971,54,648,1477,741,46,466,1819,1247,77,960,913,1428,63,878,854,966,62,508,1322,825,107,581
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.65176784327521,0.004971049267309913,0.0023762280478464236,0.005988527118861637,6.014301976431572,2.934204783657297,7.208334159515998,789,497,736,290,1265,421,605,415,2151,773,653,629,1683,1181,792,1163,603,918,680,1064,599,491,463,540,1184,377,327,389,2104,848,434,916,923,1270,403,1470,409,708,353,594,668,447,287,396,1653,427,275,331,2738,887,389,842,1018,1798,518,1432,489,1058,424,933,603,551,299,389,1002,349,267,260,2003,347,278,359,3007,894,369,1081,720,1321,427,2274,359,1100,385,1103,466,539,252,594,1113,440,194,385,2383,925,322,793,895,1042,315,1402,719,701,208,643,1460,580,165,591,1785,968,200,1115,902,1016,160,1232,873,869,93,776,1315,691,35,602
9.709416645149984,0.004993587968284244,0.0024015022983029,0.005913922975550071,6.070498879779291,2.9243306474403714,7.12924425719451,803,152,617,874,1227,127,580,585,2141,215,486,840,1679,468,753,1903,597,563,634,1435,587,302,422,808,1205,194,330,624,2091,291,451,1210,921,228,620,2257,413,186,470,1192,670,82,440,644,1693,110,460,539,2754,377,610,1307,1007,640,673,2828,497,356,532,1442,615,189,366,644,1022,137,273,460,1991,168,304,522,3015,356,397,1467,726,490,556,2696,362,398,435,1602,459,231,291,813,1105,142,234,525,2395,288,283,1146,906,271,292,2147,714,150,186,1169,1458,93,169,911,1792,239,295,1860,914,257,352,1893,874,206,297,1039,1331,232,295,932
9.709416645149984,0.004993587968284244,0.0024015022983029,0.005913922975550071,6.070498879779291,2.9243306474403714,7.12924425719451,803,152,617,874,1227,127,580,585,2141,215,486,840,1679,468,753,1903,597,563,634,1435,587,302,422,808,1205,194,330,624,2091,291,451,1210,921,228,620,2257,413,186,470,1192,670,82,440,644,1693,110,460,539,2754,377,610,1307,1007,640,673,2828,497,356,532,1442,615,189,366,644,1022,137,273,460,1991,168,304,522,3015,356,397,1467,726,490,556,2696,362,398,435,1602,459,231,291,813,1105,142,234,525,2395,288,283,1146,906,271,292,2147,714,150,186,1169,1458,93,169,911,1792,239,295,1860,914,257,352,1893,874,206,297,1039,1331,232,295,932
9.709416645149984,0.004993587968284244,0.0024015022983029,0.005913922975550071,6.070498879779291,2.9243306474403714,7.12924425719451,803,152,617,874,1227,127,580,585,2141,215,486,840,1679,468,753,1903,597,563,634,1435,587,302,422,808,1205,194,330,624,2091,291,451,1210,921,228,620,2257,413,186,470,1192,670,82,440,644,1693,110,460,539,2754,377,610,1307,1007,640,673,2828,497,356,532,1442,615,189,366,644,1022,137,273,460,1991,168,304,522,3015,356,397,1467,726,490,556,2696,362,398,435,1602,459,231,291,813,1105,142,234,525,2395,288,283,1146,906,271,292,2147,714,150,186,1169,1458,93,169,911,1792,239,295,1860,914,257,352,1893,874,206,297,1039,1331,232,295,932
